# Candidate,TrES-3b,,,,,
# Period,1.306186348,,,,,
# All data spans days,5936.616811,,,,,
# All data spans years,16.3,,,,,
Epoch,Midtime,Midtime_err_minus_days,Midtime_err_plus_days,Midtime_err_minus_sec,Midtime_err_plus_sec,Source
601,2457208.429,0.00028,0.00028,24.19,24.19,TRESCA
604,2457212.345,0.00037,0.00037,31.97,31.97,2017NewA...55...39P
611,2457221.487,0.00063,0.00063,54.43,54.43,2020AJ....160...47M; 2017PASP..129f4401R
611,2457221.489,0.00061,0.00061,52.7,52.7,TRESCA
612,2457222.794,0.00032,0.00032,27.65,27.65,TRESCA
614,2457225.407,0.0003,0.0003,25.92,25.92,2017NewA...55...39P
624,2457238.467,0.00066,0.00066,57.02,57.02,2020AJ....160...47M; 2017PASP..129f4401R
627,2457242.388,0.00028,0.00028,24.19,24.19,2017NewA...55...39P
638,2457256.755,0.00074,0.00074,63.94,63.94,2020AJ....160...47M; 2017PASP..129f4401R
640,2457259.368,0.00016,0.00016,13.82,13.82,TRESCA
640,2457259.368,0.00034,0.00034,29.38,29.38,2017NewA...55...39P
650,2457272.429,0.00024,0.00024,20.74,20.74,TRESCA
650,2457272.43,0.0004,0.0004,34.56,34.56,TRESCA
692,2457327.29,0.00027,0.00027,23.33,23.33,TRESCA
818,2457491.868,0.00041,0.00041,35.42,35.42,2020AJ....160...47M; 2017PASP..129f4401R
857,2457542.809,0.00026,0.00026,22.46,22.46,2020AJ....160...47M; 2017PASP..129f4401R
872,2457562.405,0.00041,0.00041,35.42,35.42,TRESCA
884,2457578.075,0.00033,0.00033,28.51,28.51,TRESCA
908,2457609.426,0.00031,0.00031,26.78,26.78,TRESCA
1073,2457824.947,9.00E-06,9.00E-06,0.78,0.78,2017ApJ...848....9S
1104,2457865.438,0.00024,0.00024,20.74,20.74,TRESCA
1127,2457895.481,0.00018,0.00018,15.55,15.55,TRESCA
1153,2457929.44,0.00042,0.00042,36.29,36.29,TRESCA
1160,2457938.584,0.00039,0.00039,33.7,33.7,TRESCA
1166,2457946.423,0.00017,0.00017,14.69,14.69,TRESCA
1166,2457946.424,0.00048,0.00048,41.47,41.47,TRESCA
1178,2457962.095,0.00018,0.00018,15.55,15.55,TRESCA
1215,2458010.424,0.00041,0.00041,35.42,35.42,TRESCA
1215,2458010.425,0.00038,0.00038,32.83,32.83,TRESCA
1349,2458185.454,0.00064,0.00064,55.3,55.3,2020AJ....160...47M
1352,2458189.372,0.00068,0.00068,58.75,58.75,2020AJ....160...47M
1362,2458202.432,0.0015,0.0015,129.6,129.6,2020AJ....160...47M
1365,2458206.353,0.00076,0.00076,65.66,65.66,2020AJ....160...47M
1375,2458219.413,0.00058,0.00058,50.11,50.11,2020AJ....160...47M
1378,2458223.333,0.00053,0.00053,45.79,45.79,2020AJ....160...47M
1405,2458258.601,0.00035,0.00035,30.24,30.24,TRESCA
1420,2458278.192,0.0003,0.0003,25.92,25.92,TRESCA
1421,2458279.502,0.00038,0.00038,32.83,32.83,TRESCA
1424,2458283.417,0.00048,0.00048,41.47,41.47,TRESCA
1424,2458283.42,0.0004,0.0004,34.56,34.56,TRESCA
1434,2458296.484,0.0004,0.0004,34.56,34.56,TRESCA
1437,2458300.402,0.00045,0.00045,38.88,38.88,TRESCA
1444,2458309.541,0.00022,0.00022,19.01,19.01,TRESCA
1444,2458309.545,0.00034,0.00034,29.38,29.38,TRESCA
1447,2458313.462,0.00046,0.00046,39.74,39.74,TRESCA
1449,2458316.072,0.00022,0.00022,19.01,19.01,TRESCA
